Nome da Rua
1ª Travessa Camuripeba
1ª Travessa Gildo Pistolato
1ª Travessa Nova Esperança
1ª Travessa Princesa Isabel
2ª Travessa Camuripeba
2ª Travessa Gildo Pistolato
Alameda Aruba
Alameda Belize
Alameda Felipinas
Alameda Guadalupe
Alameda Jamaica
Alameda Jardim Placaford
Alameda Mirante de Piatã
Alameda Panamá
Alameda Vila dos Coqueiros
Alameda do Forte
Avenida Dorival Caymmi
Avenida Octávio Mangabeira
Avenida Orlando Gomes
Ciclovia Orla Piatã
Ciclovia da Avenida Orlando Gomes
Primeira Travessa Princesa Isabel
Primeira Travessa da Palmeira
Rua Acari
Rua Albocara
Rua Ana Maria Vasconcellos
Rua Antônio Casaes
Rua Antônio Pessoa de Souza
Rua Aramacã
Rua Aristóteles da Costa Leal
Rua Beijupirá
Rua Camuripeba
Rua Carapeba
Rua Deputado Paulo Jackson
Rua Desembargador Antônio Bensabath
Rua Desembargador João Azevedo Cavalcante
Rua Dias Gomes
Rua Doutor Arnaldo Sant'ana
Rua Eduardo Santos
Rua Egídio Carvalho Filho
Rua Encontro das Águas
Rua Encontro das Árvores
Rua Engenheiro Erociano da Cruz Neves
Rua Flor do Bosque
Rua Floriano Teixeira
Rua Genebaldo Figueiredo
Rua Gildo Pistolato
Rua Guaraçaíma
Rua Haroldo da Silveira Lima
Rua Hebert Rocha Vaz
Rua Humberto Machado
Rua Iemanjá
Rua Joana Angélica
Rua João Cypriano Batista Brasileiro
Rua João da Silva Rego
Rua João de Souza Rego
Rua Juiz Orlando Heleno de Melo
Rua Luciano Pacheco
Rua Luis Alberto Guimarães
Rua Lyda Monteiro da Silva
Rua Mandiguaçu
Rua Manoel Correia da Cunha
Rua Manoel Duarte Júnior
Rua Manoel Galiza
Rua Manoel Lisboa
Rua Nilson Coelho
Rua Nina Mota
Rua Nova Esperança
Rua Noêmia Rego
Rua Oscar Caetano da Silve
Rua Ozi Miranda
Rua Palame
Rua Pau Brasil
Rua Paulo Gil Soares
Rua Piracema
Rua Pirambeba
Rua Pirapema
Rua Princesa Isabel
Rua Professor David Mendes Pereira
Rua Rio Trobogi
Rua Santa Bárbara
Rua Santo Antônio de Itapoã
Rua Sargento Jorge Zappe
Rua Sargento Orlando Ramos
Rua Sargento Pedro Cruz
Rua Sargento Renato Santos
Rua Sargento Rodrigues Guimarães
Rua Sargento Waldir Gomes
Rua Sargento Waldir Xavier de Lima
Rua Sargento Walmir Bannash
Rua Sub Oficial Gildo Zanin Pistolato
Rua São João do Jardim Piatã
Rua Vilage Piatã
Rua Walter Gramacho
Rua da Aurora
Rua da Palmeira
Rua das Ararinhas Azuis
Rua do Pálame
Rua do Sabiá
Rua dos Flamingos
Rua dos Pardais
Rua dos Pelicanos
Rua dos Pássaros Pretos
Travessa Bela Vista
Travessa Belo Horizonte
Travessa Encontro das Árvores
Travessa Gildo Pistolato
Travessa Luciano Pacheco
Travessa Manoel Galiza
Travessa Maribamba
Travessa Nova Esperança
Travessa Palame
